?Provincia,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Toma de datos,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasolina 95 E5 Premium,Precio gasolina 98 E5,Precio gasolina 98 E10,Precio gas�leo A,Precio gas�leo Premium,Precio gas�leo B,Precio gas�leo C,Precio bioetanol,Precio biodi�sel,Precio gases licuados del petr�leo,Precio gas natural comprimido,Precio gas natural licuado,Precio hidr�geno,R�tulo,Tipo venta,Rem.,Horario,Tipo servicio,,,,,,
ALBACETE,ALCARAZ,JARDIN (EL),2330,CARRETERA 322 KM. 302,I,-2.327639,38.808528,2025-05-01 00:00:00,1459,,1509,,,1399,1449,,,,,,,,,REPSOL,P,OM,L-V: 07:00-17:00,L-V: 07:00-17:00 (A),,,,,,
ALBACETE,ALMANSA,ALMANSA,2640,AUTOVIA A-31 KM. 140,D,-1.17575,38.875028,2025-04-30 15:00:00,1544,,,1684,,1484,1564,,,,,,,,,SHELL,P,OM,L-D: 07:00-23:00,L-D: 07:00-23:00 (A),,,,,,
ALBACETE,ALMANSA,ALMANSA,2640,"AVENIDA CIRCUNVALACION, 26",N,-1.08475,38.859944,2025-04-30 10:13:00,1519,,,,,1454,1558,,,,,,,,,CEPSA,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00 (A),,,,,,
ALBACETE,ALMANSA,ALMANSA,2640,"AUTOVIA A-31 KM. 143,350",I,-1.143722,38.878278,2025-04-30 10:17:00,1534,,,1584,,1484,1594,,,,,,,,,CEPSA,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00 (A),,,,,,
ALBACETE,ALMANSA,ALMANSA,2640,"AVENIDA INFANTE DON JUAN MANUEL, 8",D,-1.102944,38.874556,2025-04-30 09:49:00,1289,,,,,1249,,,,,,,,,,QUALITY ALMANSA,P,dm,L-D: 24H,Sin datos,,,,,,
ALBACETE,ALMANSA,ALMANSA,2640,"AVENIDA CIRCUNVALACION, 9",N,-1.098889,38.879167,2025-05-01 10:44:00,1269,,1279,,,1227,1237,,,,,,,,,BALLENOIL,P,OM,L-D: 24H,L-D: 24H (D),,,,,,
ALBACETE,ALMANSA,ALMANSA,2640,CARRETERA N-430 BADAJOZ A VALENCIA KM. 594,D,-1.027694,38.850278,2025-04-28 02:01:00,1359,,,,,1299,,1029,,,,,,,,GASOLINERA LOW COST PENADES,P,dm,L-D: 24H,L-D: 24H (P),,,,,,
ALBACETE,ALMANSA,ALMANSA,2640,"AVENIDA AYORA CON AVENIDA ADOLFO SUAREZ, S/N",D,-1.100028,38.878667,2025-04-29 15:39:00,1269,,,,,1227,,,,,,,,,,PLENERGY,P,dm,L-D: 24H,L-D: 24H (D),,,,,,
ALBACETE,ALPERA,ALPERA,2690,"BONETE, S/Nº",N,-1.236552,38.958875,2025-04-28 09:46:00,1357,,,,,1265,,941,,,,,,,,COOPERATIVA SANTA CRUZ DE ALPERA,P,dm,L-D: 24H,L-D: 24H (A),,,,,,
ALBACETE,BALAZOTE,BALAZOTE,2320,"N-322 km 326,2",D,-2.150639,38.878028,2025-04-28 10:27:00,1529,,,,,1439,,1.19,,,,,,,,E.S. BALAZOTE S.L.,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00 (A),,,,,,
ALBACETE,BARRAX,BARRAX,2639,"CALLE ALBACETE, 57",I,-2.195139,39.043139,2025-04-28 10:25:00,1529,,,,,1439,,1.19,,,,,,,,E.S. BARRAX S.L.,P,dm,L-D: 06:00-23:00,L-D: 06:00-23:00 (A),,,,,,
ALBACETE,BIENSERVIDA,BIENSERVIDA,2360,CARRETERA BIENSERVIDA KM. 10,N,-2.617667,38.516417,2025-04-29 12:06:00,1364,,,,,1364,,,,,,,,,,GASOLINERA ETENOIL,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00 (A),,,,,,
ALBACETE,BONETE,BONETE,2691,AUTOVIA A-31 KM. 126,D,-1.3315,38.875861,2025-05-01 00:00:00,1509,,,1649,,1419,1499,,,,,,,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (A),,,,,,
ALBACETE,BONETE,BONETE,2691,"CR N-430, 566,3",I,-1.331611,38.876111,2025-05-01 00:00:00,1509,,,1649,,1419,1499,,,,,,,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (A),,,,,,
ALBACETE,BONILLO (EL),BONILLO (EL),2610,"CALLE CARRETERA MUNERA, 2",D,-2.535056,38.953361,2025-05-01 00:00:00,1459,,,1569,,1399,1479,1.11,,,,,,,,REPSOL,P,OM,S-D: 07:00-15:00,S-D: 07:00-15:00 (A),,,,,,
ALBACETE,CASAS DE JUAN NÚÑEZ,CASAS DE JUAN NUÑEZ,2151,"AVDA. ALBACETE, 33",D,-1.560857,39.100792,2025-05-01 08:56:00,1459,,,,,1309,,0.9,,,,,,,,GASOLINERAS DEL REY,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00 (A),,,,,,
ALBACETE,CASAS-IBÁÑEZ,CASAS-IBAÑEZ,2200,CARRETERA ALBACETE KM. 94,I,-1.477806,39.283944,2025-04-30 13:18:00,1529,,,1659,,1439,1499,1179,,,,,,,,CEPSA,P,dm,L-D: 07:00-21:00,L-D: 07:00-21:00 (A),,,,,,
ALBACETE,CAUDETE,CAUDETE,2660,"AUTOVIA A-31 KM. 167,50",I,-0.955833,38.756417,2025-05-01 00:00:00,1509,,,1649,,1419,1499,1.11,,,,,,,,REPSOL,P,OM,L-D: 06:00-23:00,L-D: 06:00-23:00 (A),,,,,,
